title,genre,director,country,year
…которого любили все,"документально,-,биографический фильм",Леонид Осыка,СССР,1982
«Спартак»: действующие лица… и болельщики,"документальный,, ,спорт","Илья Гутман, ,, Иосиф Пастернак",СССР,1985
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984
Чудотворец из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958
«SOS» над тайгой,"драма,, ,приключения","Аркадий Кольцатый, ,, Валентин Перов",СССР,1976
(Почти) Пять Докторов: Перезагрузка,"комедийный фильм,, ,кинопародия",Питер Дэвисон,Великобритания,
"«Москвич», любовь моя",,Арам Шахбазян,"Армения, Франция, Россия",2015
(Не)бывшие,драматический фильм,Стефан Бризе,Франция,"8 сентября, 2023, [, 1, ], ,, 4 октября, 2023, [, 1, ], ,, 20 марта, 2024, [, 1, ], ,, 21 марта, 2024, [, 2, ], ,, 27 марта, 2024, [, 1, ], ,, 28 марта, 2024, [, 1, ], ,, 1 мая, 2024, [, 3, ], и, 2 мая, 2024, [, 1, ]"
(Не)идеальные роботы,"романтическая комедия,научно-фантастический фильм,экранизация литературного произведения,[вд]","Энтони Хайнс, Каспер Кристенсен",США,2023
…а пятый всадник – Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972
3 ночи в пустыне,драма,"Гэбриэль Коуэн, [англ.]",США,2014
Четыре,драма,Илья Хржановский,"Россия, Нидерланды",2004
?,"драматический фильм,[,1,]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ханун Брамантйо, [вд], [, 1, ]",Индонезия,"7 апреля, 2011"
3: История Дейла Эрнхардта,"биографическая, ,спортивная, ,драма",Рассел Малкэхи,США,
2pac: Легенда,"байопик,драма,боевик",Бенни Бум,США,2017
2+1,"
,драма,
,семейный,Музыка к фильму",Юго Желен,"Франция, Великобритания",2016
3 идиота,"комедия, / ,драма",Раджкумар Хирани,Индия,2009
2:37,"драматический фильм,[,1,],[,2,]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Мулари К. Теллури, [вд], [, 1, ], [, 2, ], […]",Австралия,2006
2:22,триллер,"Пол Карри, [англ.]","США, Австралия",2017
2-Асса-2,драма,Сергей Соловьёв,Россия,2008
2 Girls 1 Cup,"порнофильм,.mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)},ЛГБТ-фильм,[вд]","Марко Фиорито, [вд]",Бразилия,"5 января, 2007"
2 секунды,комедия,Манон Брайан,Канада,1998
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977
2 дня в Париже,"комедия,драма,мелодрама",Жюли Дельпи,"Франция, Германия",2007
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,"2017, (Международный кинофестиваль в Торонто 2017 (TIFF)), 2019, (международная премьера)"
1+1,"комедийная драма,бадди-муви","Оливье Накаш, [, 2, ], Эрик Толедано, [, 2, ]",Франция,2011
01-99,комедия,Амасий Мартиросян,СССР,1959
1 миля до тебя,"драма,мелодрама",Лейф Тильден,США,2017
1%,криминальный,Стив МакКаллум,Австралия,2017
28 лет спустя. Часть II: Костяной храм,"постапокалиптика,фильм ужасов",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ниа Дакоста, [вд]",,"16 января, 2026, [, 1, ]"
42-я улица,"комедия,мюзикл,мелодрама","Ллойд Бэкон, Басби Беркли, (муз. номера)",США,1933
42 / Номер 42,"драма,спортивный фильм",Брайан Хелгеленд,"США, [, 2, ], [, 3, ]","12 апреля, 2013, и, 8 августа, 2013, [, 1, ]"
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002
40,"детектив, / ,триллер",Александр Галибин,Россия,2007
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959
38-я параллель,"драма,боевик,военный",Кан Джегю,Республика Корея,2004
36 безумных кулаков,"боевик,комедия",Чэнь Чжихуа,Гонконг,1977
34-й скорый,"Фильм-катастрофа,приключенческий фильм,драма",Андрей Малюков,СССР,1981
33,драма,Патрисия Ригген,"США, Чили, Колумбия",2015
,"драма,, ,мелодрама",Дени Вильнёв,Канада,1998
32 декабря,"комедия,, ,фантастика,мелодрама",Александр Муратов,Россия,2004
31-й километр,"ужасы,, ,мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009
31 июня,"музыкальный фильм, (,мюзикл,), ,фэнтези",Леонид Квинихидзе,СССР,
31,Фильм ужасов,Роб Зомби,США,2016
30 свиданий,"комедия,мелодрама",Таисия Игуменцева,Россия,2016
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, ,фильм ужасов",Крэйг Мосс,США,2012
30 дней ночи: Тёмные времена,"триллер, / ,фильм ужасов",Бен Кетай,США,2010
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,"16 октября, 2007, [, 2, ], и, 8 ноября, 2007, [, 3, ]"
30 дней до рассвета,"фильм ужасов,комедия",Андерс Банке,Швеция,2006
29 пальм,"драма,роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003
29 Километр,"драма,,, ,музыкальный фильм",Леонид Андронов,Россия,2012
28 недель спустя,"постапокалиптический, ,фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания, [, 2, ]",2007
28 лет спустя,"постапокалиптический, ,фильм ужасов",Дэнни Бойл,"Великобритания, США",2025
30 безумных желаний,независимый кинематограф,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Питер Хатчингс, [вд]",США,2018
29-я улица,"комедия,драма",Джордж Галло,США,1991
28 дней спустя,"постапокалиптический, ,фильм ужасов,Музыка к фильму",Дэнни Бойл,Великобритания,2002
28 дней,"драма,, ,комедия",Бетти Томас,США,2000
27-й день,научная фантастика,Уильям Эшер,США,1957
27 украденных поцелуев,"комедия,драма,мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000
27 Секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019
27 свадеб,романтическая комедия,Энн Флетчер,США,2008
25-й час,"криминальный фильм,драма",Спайк Ли,США,2002
25 ватт,Комедийная драма,"Хуан Пабло Ребелья, Пабло Столь",Уругвай,2001
24-25 не возвращается,"детективный фильм,, ,драма","Алоиз Бренч, Ростислав Горяев",СССР,1968
24 часа: Искупление,"боевик,драматический фильм,Музыка к фильму",Джон Кассар,"США, ЮАР, США",
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999
24 часа,триллер,Луис Мандоки,"США, Германия",2002
24 часа,"боевик,драма",Александр Атанесян,Россия,2000
24 недели,драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Анна Зора Берашед, [вд], [, 1, ], [, 4, ]",Германия,"22 сентября, 2016, [, 1, ], [, 2, ], […], ,, 13 октября, 2016, [, 3, ], и, 2016"
24 кадра,драматический фильм,Аббас Киаростами,"Иран, Франция","май, 2017"
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992
"23 - Всё не то, чем кажется","триллер, / ,драма",Ганс-Христиан Шмидт,Германия,1998
22 минуты,боевик,Василий Сериков,Россия,2014
22 мили,"боевик,, ,триллер",Питер Берг,США,2018
22 пули: Бессмертный,"триллер,, ,детектив",Ришар Берри,Франция,2010
21 мост,"драма,триллер,детектив",Брайан Кирк,США,2019
21 ночь с Патти,комедия,"Арно Ларье, Жан-Мари Ларье",Франция,2015
22 июля,Драма,Пол Гринграсс,США,2018
21 и больше,комедия,"Джон Лукас, Скотт Мур",США,2013
21 грамм,драма,Алехандро Гонсалес Иньярриту,США,2003
20 тысяч разновидностей пчёл,"драматический фильм,.mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)},ЛГБТ-фильм,[вд]","Эстибалис Урресола Солагурен, [вд]",Испания,"2023, и, 30 ноября, 2023, [, 1, ]"
20 сигарет,"драма,комедия",Александр Горновский,Россия,2007
20 сантиметров,"комедия,мюзикл",Рамон Саласар,"Испания, Франция",2005
20 миллионов миль до Земли,"научно-фантастический фильм,фильм о монстрах,фильм-катастрофа,приключенческий фильм,фэнтезийный фильм,фильм-триллер,фильм ужасов",Натан Юран,"США, Италия, ФРГ",1957
20 дней в Мариуполе,"документальный фильм,военный фильм",Мстислав Чернов,Украина,2023
20-е декабря,исторический фильм,Григорий Никулин,СССР,
20 000 лье под водой,"криминальный фильм,драма,триллер",Род Харди,США,1997
20 000 лье под водой,фантастика,Стюарт Патон,США,1916
20 000 лет в Синг-Синге,"Криминальная мелодрама,Тюремная драма",Майкл Кёртис,США,1932
20 000 дней на Земле,"документальный,музыкальный","Айан Форсайт, Джейн Поллард",Великобритания,2014
18-летняя девственница,комедия,Тамара Олсон,США,2008
18-14,"исторический, ,детектив,приключение",Андрес Пуустусмаа,Россия,2007
18 мая,"боевик,драма,военный,история","Ким Джи Хун, [англ.]",Республика Корея,2007
18 килогерц,драма,Фархат Шарипов,Казахстан,2020
20 000 лье под водой,"драма,, ,стимпанк,, ,приключенческий фильм",Ричард Флейшер,США,1954
14+,мелодрама,Андрей Зайцев,Россия,2015
18 бронзовых бойцов,"боевик,драма","Джозеф Го, [англ.]","Гонконг, Китайская Республика","1975, [, 1, ], [, 2, ]"
«17 девушек»,драма,"Дельфин Кулин, Мюриэль Кулин",Франция,2011
16 кварталов,"криминальный фильм,драма,триллер",Ричард Доннер,США,2006
16 желаний,"подростковая, ,фэнтезийная комедия",Питер Делуиз,США,
15 минут славы,"Криминальная драма,боевик",Джон Херцфелд,США,2001
15 августа,комедия,Патрик Алессандрен,Франция,2001
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023
14 клинков,"боевик,триллер",Дэниел Ли,"Гонконг, Китай",2010
14 июля,комедия,Рене Клер,Франция,1933
14 амазонок,"приключенческий фильм,драма,военный фильм","Чэн Ган, Дун Шаоюн",Гонконг,1972
13-я жертва,ужасы,"Мэл Хаус, [англ.]",США,2008
13-й участок,"криминальный фильм,драма,, ,экранизация",Мартин Фрич,Чехословакия,1946
13-й район: Ультиматум,боевик,"Патрик Алессандрен, (, фр., Patrick Alessandrin, )",Франция,2009
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция, Канада, США",2014
13-й район,боевик,Пьер Морель,Франция,2004
13-й знак,Ужасы,"Джонти Эктон, Адам Мэйсон",Великобритания,2000
